[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
690,30.16,22.18,15.33,11.70,15.08,0.00,94.45
691,30.16,22.25,15.70,11.70,15.37,0.00,95.17
692,30.03,21.97,15.83,11.70,15.21,0.00,94.75
693,29.99,21.93,15.99,11.80,15.30,0.00,95.01
694,30.24,22.02,16.19,11.80,15.31,0.00,95.57
695,30.24,22.02,16.09,11.80,15.41,0.00,95.56
696,30.20,22.12,16.16,11.80,15.36,0.00,95.63
697,30.07,22.21,16.11,11.80,15.17,0.00,95.37
698,29.95,22.21,15.93,11.70,15.04,0.00,94.83
699,29.95,22.21,16.02,11.70,14.91,0.00,94.79
700,29.95,22.33,16.14,11.70,14.89,0.00,95.02
701,29.99,22.41,15.99,11.70,14.88,0.00,94.97
702,29.95,22.39,16.43,11.70,14.80,0.00,95.27
703,29.78,22.28,16.10,11.70,14.94,0.00,94.80
704,29.95,22.48,16.09,11.70,14.91,0.00,95.12
705,30.03,22.45,16.54,11.70,14.66,0.00,95.38
706,30.07,22.72,16.15,11.60,14.39,0.00,94.93
707,29.99,22.64,16.20,11.60,14.07,0.00,94.50
708,30.03,22.64,16.26,11.60,13.91,0.00,94.44
709,29.74,22.72,16.73,11.50,13.88,0.00,94.57
710,29.99,22.82,16.24,11.40,14.18,0.00,94.64
711,29.82,22.82,15.82,11.40,14.37,0.00,94.24
712,29.74,22.98,15.78,11.40,14.27,0.00,94.17
713,29.90,23.05,15.86,11.40,14.34,0.00,94.55
714,29.69,23.12,15.85,11.40,14.00,0.00,94.07
715,29.74,23.12,15.64,11.40,13.84,0.00,93.74
716,30.07,23.12,16.15,11.40,13.73,0.00,94.47
717,30.28,23.12,16.36,11.40,13.86,0.00,95.03
718,30.24,22.93,16.49,11.40,13.61,0.00,94.67
719,29.99,22.93,16.65,11.40,13.66,0.00,94.63
720,29.95,22.73,16.44,11.40,13.86,0.00,94.39
721,29.99,22.73,16.09,11.40,13.64,0.00,93.85
722,29.95,22.60,15.93,11.40,13.63,0.00,93.50
723,29.82,22.81,15.81,11.40,13.92,0.00,93.77
724,29.95,23.00,15.82,11.40,13.72,0.00,93.88
725,29.90,22.90,15.77,11.40,13.83,0.00,93.81
726,30.28,23.03,15.88,11.40,13.47,0.00,94.07
727,30.28,23.02,15.93,11.40,13.56,0.00,94.20
728,30.58,23.02,15.75,11.40,13.86,0.00,94.60
729,30.41,23.12,15.62,11.40,13.78,0.00,94.33
730,30.32,23.12,15.79,11.40,14.11,0.00,94.74
731,30.49,23.14,15.86,11.40,13.90,0.00,94.78
732,30.53,23.23,15.79,11.40,14.06,0.00,95.02
733,30.53,23.03,15.65,11.40,13.84,0.00,94.46
734,30.41,23.03,15.75,11.40,13.96,0.00,94.56
735,30.41,23.03,15.59,11.40,13.98,0.00,94.41
736,30.45,23.03,15.60,11.50,13.93,0.00,94.51
737,30.32,23.13,15.84,11.60,14.31,0.00,95.21
738,30.49,23.13,15.68,11.60,14.28,0.00,95.18
739,30.66,22.98,15.49,11.60,14.17,0.00,94.90
740,30.62,22.98,15.32,11.60,14.21,0.00,94.73
741,30.45,23.11,15.14,11.60,14.38,0.00,94.69
742,30.20,23.31,14.98,11.60,14.28,0.00,94.37
743,29.95,23.28,14.92,11.60,14.54,0.00,94.28
744,29.90,23.40,15.18,11.60,14.58,0.00,94.66
745,29.78,23.20,15.67,11.60,14.74,0.00,94.98
746,29.48,23.29,15.53,11.60,14.58,0.00,94.48
747,29.40,23.31,15.38,11.60,14.80,0.00,94.48
748,29.27,23.49,15.37,11.60,14.80,0.00,94.54
749,29.32,23.56,15.13,11.60,15.01,0.00,94.62
750,29.44,23.56,15.24,11.70,15.14,0.00,95.08
751,29.57,23.51,15.58,11.70,14.92,0.00,95.28
752,29.69,23.51,15.29,11.70,14.85,0.00,95.04
753,29.57,23.51,15.25,11.70,14.87,0.00,94.90
754,29.40,23.41,15.07,11.80,14.74,0.00,94.41
755,29.36,23.42,15.18,11.80,15.15,0.00,94.91
756,29.23,23.42,15.06,11.80,14.93,0.00,94.44
757,29.15,23.59,14.83,11.80,15.05,0.00,94.42
758,29.15,23.59,14.91,11.90,14.94,0.00,94.50
759,29.06,23.49,14.98,11.90,14.83,0.00,94.26
760,28.85,23.49,15.29,11.90,14.91,0.00,94.45
761,28.60,23.56,15.07,11.90,14.98,0.00,94.11
762,28.85,23.65,15.07,11.90,14.73,0.00,94.20
763,28.98,23.65,15.30,11.90,15.02,0.00,94.85
764,29.02,23.72,15.24,11.80,14.85,0.00,94.63
765,29.19,23.63,15.37,11.80,15.00,0.00,94.98
766,29.11,23.55,15.23,11.80,14.85,0.00,94.54
767,28.85,23.66,15.63,11.80,14.78,0.00,94.73
768,28.77,23.64,15.67,11.80,14.93,0.00,94.81
769,28.77,23.76,15.65,11.70,14.60,0.00,94.48
